# Airline names: IATA|ICAO|NAME
# IATA (2-char) codes come from schedule APIs; ICAO (3-char) codes are
# callsign prefixes seen on ADS-B. Add your own as extra lines
# (IATA may be empty for ICAO-only entries).
A3|AEE|AEGEAN
AA|AAL|AMERICAN
AC|ACA|AIR CANADA
AF|AFR|AIR FRANCE
AY|FIN|FINNAIR
AZ|ITY|ITA AIRWAYS
BA|BAW|BRITISH AIRWAYS
DL|DAL|DELTA
EI|EIN|AER LINGUS
EK|UAE|EMIRATES
EW|EWG|EUROWINGS
EY|ETD|ETIHAD
FR|RYR|RYANAIR
IB|IBE|IBERIA
KL|KLM|KLM
KM|KMM|KM MALTA
LG|LGL|LUXAIR
LH|DLH|LUFTHANSA
LO|LOT|LOT
LX|SWR|SWISS
OS|AUA|AUSTRIAN
QR|QTR|QATAR AIRWAYS
SK|SAS|SAS
SN|BEL|BRUSSELS AIRLINES
SQ|SIA|SINGAPORE AIRLINES
TK|THY|TURKISH AIRLINES
TP|TAP|TAP PORTUGAL
U2|EZY|EASYJET
UA|UAL|UNITED
VS|VIR|VIRGIN ATLANTIC
VY|VLG|VUELING
W6|WZZ|WIZZ AIR
WK|EDW|EDELWEISS
|EJU|EASYJET
|EZS|EASYJET
|RYS|RYANAIR
|WMT|WIZZ AIR MALTA
