# Airport database: IATA|ICAO|LAT|LON|CITY|NAME
# Source: OurAirports (public domain), scheduled-service
# large+medium airports. Add your own as extra lines.
AAA|NTGA|-17.3526|-145.51|Anaa|Anaa Airport
AAC|HEAR|31.0553|33.828|El Arish|El Arish International Airport
AAE|DABB|36.8268|7.8133|Annaba|Annaba Rabah Bitat Airport
AAL|EKYT|57.0948|9.8499|Aalborg|Aalborg Airport
AAN|OMAL|24.2617|55.6092|Al Ain|Al Ain International Airport
AAP|WALS|-0.3745|117.2501|Samarinda|Aji Pangeran Tumenggung Pranoto International Airport
AAQ|URKA|45.0021|37.3473|Krasnyi Kurgan|Anapa Vityazevo Airport
AAR|EKAH|56.3033|10.6183|Aarhus|Aarhus Airport
AAT|ZWAT|47.7499|88.0858|Altay|Altay Xuedu Airport
AAX|SBAX|-19.5632|-46.9604|Araxa|Romeu Zema Airport
AAY|OYGD|16.1933|52.1742|Al Ghaydah|Al Ghaydah International Airport
ABA|UNAA|53.74|91.385|Abakan|Abakan International Airport
ABB|DNAS|6.2042|6.6653|Asaba|Asaba International Airport
ABD|OIAA|30.3679|48.2301|Abadan|Abadan Ayatollah Jami International Airport
ABE|KABE|40.6518|-75.4428|Allentown/Bethlehem|Lehigh Valley International Airport
ABI|KABI|32.4113|-99.6819|Abilene|Abilene Regional Airport
ABJ|DIAP|5.2614|-3.9263|Abidjan|Felix-Houphouet-Boigny International Airport
ABK|HAKD|6.7326|44.2413|Kebri Dahar|Kebri Dahar Airport
ABL|PAFM|67.1055|-157.8553|Ambler|Ambler Airport
ABQ|KABQ|35.04|-106.6089|Albuquerque|Albuquerque International Sunport
ABR|KABR|45.4491|-98.4218|Aberdeen|Aberdeen Regional Airport
ABS|HEBL|22.3759|31.6117|Abu Simbel|Abu Simbel Airport
ABT|OEBA|20.2985|41.6362|Al-Baha|King Saud Bin Abdulaziz (Al Baha) Airport
ABV|DNAA|9.0068|7.2632|Abuja|Nnamdi Azikiwe International Airport
ABX|YMAY|-36.0668|146.9591|East Albury|Albury Airport
ABY|KABY|31.5329|-84.1962|Albany|Southwest Georgia Regional Airport
ABZ|EGPD|57.2019|-2.1978|Aberdeen|Aberdeen International Airport
ACA|MMAA|16.7571|-99.7531|Acapulco|General Juan N. Alvarez International Airport
