# PaperTerminal demo combined board (arrivals + departures, pre-sorted)
# DIR|TIME|FLIGHT|AIRLINE|TYPE|RUNWAY|FROM-or-TO  (TIME = minutes from now)
A|-14|LX 1073|SWISS|A20N|14|BUD
A|-9|BA 710|BRITISH AIRWAYS|A320|14|LHR
D|-6|LX 316|SWISS|BCS3|28|LCY
A|-4|WK 205|EDELWEISS|A343|16|PMI
D|-2|LH 1187|LUFTHANSA|A21N|28|FRA
A|-1|LH 1186|LUFTHANSA|A21N|14|FRA
A|+3|KL 1955|KLM|E195|16|AMS
D|+4|BA 711|BRITISH AIRWAYS|A320|28|LHR
A|+7|AF 1114|AIR FRANCE|A319|14|CDG
D|+9|LX 64|SWISS|B77W|32|MIA
A|+11|U2 1461|EASYJET|A320|16|LGW
D|+14|WK 240|EDELWEISS|A320|28|LPA
A|+16|OS 561|AUSTRIAN|E195|14|VIE
D|+19|KL 1956|KLM|E195|28|AMS
A|+21|LX 39|SWISS|B77W|16|JFK
D|+25|AF 1115|AIR FRANCE|A319|28|CDG
A|+27|TK 1911|TURKISH AIRLINES|A21N|14|IST
D|+31|U2 1462|EASYJET|A320|28|LGW
A|+33|EK 87|EMIRATES|A388|16|DXB
D|+37|OS 566|AUSTRIAN|E195|28|VIE
A|+39|SN 2782|BRUSSELS AIRLINES|A319|14|BRU
D|+43|QR 96|QATAR AIRWAYS|B788|32|DOH
A|+46|LX 317|SWISS|BCS3|16|LCY
D|+50|LX 1072|SWISS|A20N|28|BUD
A|+52|IB 3486|IBERIA|A320|14|MAD
D|+57|SK 806|SAS|A20N|28|ARN
D|+64|LX 8|SWISS|B77W|32|ORD
D|+71|VY 6249|VUELING|A320|28|BCN
