# PaperTerminal demo arrivals
# DIR|TIME|FLIGHT|AIRLINE|TYPE|RUNWAY|FROM  (TIME = minutes relative to now)
A|-14|LX 1073|SWISS|A20N|14|BUD
A|-9|BA 710|BRITISH AIRWAYS|A320|14|LHR
A|-4|WK 205|EDELWEISS|A343|16|PMI
A|-1|LH 1186|LUFTHANSA|A21N|14|FRA
A|+3|KL 1955|KLM|E195|16|AMS
A|+7|AF 1114|AIR FRANCE|A319|14|CDG
A|+11|U2 1461|EASYJET|A320|16|LGW
A|+16|OS 561|AUSTRIAN|E195|14|VIE
A|+21|LX 39|SWISS|B77W|16|JFK
A|+27|TK 1911|TURKISH AIRLINES|A21N|14|IST
A|+33|EK 87|EMIRATES|A388|16|DXB
A|+39|SN 2782|BRUSSELS AIRLINES|A319|14|BRU
A|+46|LX 317|SWISS|BCS3|16|LCY
A|+52|IB 3486|IBERIA|A320|14|MAD
