# PaperTerminal demo departures
# DIR|TIME|FLIGHT|AIRLINE|TYPE|RUNWAY|TO  (TIME = minutes relative to now)
D|-6|LX 316|SWISS|BCS3|28|LCY
D|-2|LH 1187|LUFTHANSA|A21N|28|FRA
D|+4|BA 711|BRITISH AIRWAYS|A320|28|LHR
D|+9|LX 64|SWISS|B77W|32|MIA
D|+14|WK 240|EDELWEISS|A320|28|LPA
D|+19|KL 1956|KLM|E195|28|AMS
D|+25|AF 1115|AIR FRANCE|A319|28|CDG
D|+31|U2 1462|EASYJET|A320|28|LGW
D|+37|OS 566|AUSTRIAN|E195|28|VIE
D|+43|QR 96|QATAR AIRWAYS|B788|32|DOH
D|+50|LX 1072|SWISS|A20N|28|BUD
D|+57|SK 806|SAS|A20N|28|ARN
D|+64|LX 8|SWISS|B77W|32|ORD
D|+71|VY 6249|VUELING|A320|28|BCN
